xmin,ymin,xmax,ymax,label,image_path,annotator
897.0,4476.0,925.0,4489.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
897.0,4476.0,925.0,4489.0,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
4404.0,4187.0,4427.0,4203.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
4404.0,4187.0,4427.0,4203.0,Leucophaeus atricilla,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
777.0,1127.0,804.0,1140.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
777.0,1127.0,804.0,1140.0,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
5401.0,2870.0,5430.0,2894.9999999999995,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
5401.0,2870.0,5430.0,2894.9999999999995,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
3838.0,3858.0,3860.9999999999995,3878.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
3838.0,3858.0,3860.9999999999995,3878.0,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1604.0,3489.9999999999995,1628.0,3509.9999999999995,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1604.0,3489.9999999999995,1628.0,3509.9999999999995,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
597.0000000000001,2454.0,619.0000000000001,2471.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
597.0000000000001,2454.0,619.0000000000001,2471.0,Leucophaeus atricilla,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1112.0,275.0,1128.0,292.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1112.0,275.0,1128.0,292.0,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
778.0,59.99999999999999,805.0,81.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
778.0,59.99999999999999,805.0,81.0,Leucophaeus atricilla,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1398.0,1438.0,1426.0,1456.9999999999998,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
1398.0,1438.0,1426.0,1456.9999999999998,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
5441.0,1598.0,5460.0,1629.0,FalsePositive,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
5441.0,1598.0,5460.0,1629.0,Larus argentatus,C1_L6_F905_T20241219_174151_542.jpg," benweinstein2010@gmail.com, 2"
