xmin,ymin,xmax,ymax,label,image_path,annotator,flight_name
5220.0,918.0,5305.0,991.0,FalsePositive,C2_L1_F809_T20241219_170832_229.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
1069.0,6.0,1093.0,42.0,FalsePositive,C6_L1_F66_T20241219_165812_801.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
6437.999999999999,4810.000000000001,6460.999999999999,4848.000000000001,FalsePositive,C6_L1_F72_T20241219_165817_811.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
6142.0,3000.0,6168.0,3017.0,FalsePositive,C5_L1_F80_T20241219_165824_384.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
193.0,614.0000000000001,221.00000000000003,645.0,FalsePositive,C5_L1_F1448_T20241219_171725_603.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
5328.0,2913.0,5350.000000000001,2963.9999999999995,FalsePositive,C5_L1_F850_T20241219_170906_720.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
6056.398728722243,1018.0000000000002,6086.398728722243,1047.0000000000002,FalsePositive,C4_L1_F136_T20241219_165910_606.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
56.99999999999999,3000.0,100.0,3022.0,FalsePositive,C5_L1_F820_T20241219_170841_699.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
543.0,4000.0,575.0000000000001,4033.0,FalsePositive,C2_L1_F818_T20241219_170839_733.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
5069.999999999999,3583.0,5084.999999999999,3610.0,FalsePositive,C7_L1_F53_T20241219_165802_073.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
6440.000000000001,1284.0,6462.000000000001,1339.9999999999998,FalsePositive,C7_L1_F53_T20241219_165802_073.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
5114.0,1000.0,5164.0,1026.0,FalsePositive,C5_L1_F826_T20241219_170846_707.jpg,"Brier Klossing b.klossing@ufl.edu, 20",JPG_20241219_165600
